date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM,code_name
2026-03-25,sh.600000,10.1000,6.725493,0.479866,1.933670,-1.587025,浦发银行
2026-03-25,sh.600004,8.9800,17.096355,1.214617,2.959502,11.179798,白云机场
2026-03-25,sh.600006,6.4600,52.661364,1.543989,1.295940,-101.051369,东风股份
2026-03-25,sh.600007,20.2400,16.956998,2.149346,5.407712,-84.813423,中国国贸
2026-03-25,sh.600008,3.2500,13.984294,1.142155,1.215468,41.765708,首创环保
2026-03-25,sh.600009,27.9800,29.422241,1.655791,5.400535,60.228105,上海机场
2026-03-25,sh.600010,2.5800,115.271562,2.243643,1.762258,207.010223,包钢股份
2026-03-25,sh.600011,7.6800,8.366765,1.856782,0.525807,-217.019892,华能国际
2026-03-25,sh.600012,15.5600,15.234995,2.137542,3.809886,32.826736,皖通高速
2026-03-25,sh.600015,7.1800,4.201073,0.370320,1.243219,-2.197273,华夏银行
2026-03-25,sh.600016,3.8800,5.596856,0.302312,1.186789,3.221066,民生银行
2026-03-25,sh.600017,3.2800,18.528969,0.717836,1.286436,-128.562817,日照港
2026-03-25,sh.600018,5.1500,8.947149,0.856197,3.039853,-130.235760,上港集团
2026-03-25,sh.600019,6.4200,14.814869,0.684654,0.448644,84.517441,宝钢股份
2026-03-25,sh.600020,3.9800,8.781799,0.752406,1.250629,147.344056,中原高速
2026-03-25,sh.600021,19.4300,20.787969,2.594305,1.295225,40.436058,上海电力
2026-03-25,sh.600022,1.5500,-24.862241,0.878835,0.228454,-26.802023,山东钢铁
2026-03-25,sh.600023,5.5100,10.138056,0.984219,0.917555,61.455880,浙能电力
2026-03-25,sh.600025,10.2300,22.134698,2.774312,7.301213,47.016370,华能水电
2026-03-25,sh.600026,25.3300,41.913133,3.699698,6.072636,118.559785,中远海能
2026-03-25,sh.600027,5.4300,9.576368,1.295208,0.614116,-69.321662,华电国际
2026-03-25,sh.600028,5.9200,22.505550,0.862168,0.257179,-69.896411,中国石化
2026-03-25,sh.600029,5.7600,-77.087536,2.818321,0.588939,21.301331,南方航空
2026-03-25,sh.600030,24.6600,12.161814,1.304042,4.884066,2.307209,中信证券
2026-03-25,sh.600031,19.7300,22.008448,2.471178,2.106401,-377.485071,三一重工
2026-03-25,sh.600032,13.0200,58.413032,2.418062,6.389169,39.337896,浙江新能
2026-03-25,sh.600033,3.8500,13.058077,0.849869,3.458038,9.989281,福建高速
2026-03-25,sh.600035,3.9100,9.349827,0.707048,1.165860,-44.044864,楚天高速
2026-03-25,sh.600036,39.2600,6.592919,0.908521,2.933444,-3.229338,招商银行
2026-03-25,sh.600037,7.3400,297.718479,0.805989,4.602153,-10.052278,歌华有线
2026-03-25,sh.600038,33.5400,48.132709,1.593805,0.999505,9.371629,中直股份
2026-03-25,sh.600039,9.9100,11.138166,1.732461,0.793187,33.866190,四川路桥
2026-03-25,sh.600048,6.0100,70.145353,0.373010,0.233381,-11.841844,保利发展
2026-03-25,sh.600050,4.5500,15.586545,0.843775,0.362684,-42.640822,中国联通
2026-03-25,sh.600051,7.6800,25.611865,0.702715,1.433302,-30.279702,宁波联合
2026-03-25,sh.600052,4.1400,-8.868897,1.290785,5.179231,55.527220,东望时代
2026-03-25,sh.600053,15.4300,-20.568256,2.601758,23.941307,-36.626439,九鼎投资
2026-03-25,sh.600054,13.4500,34.591219,2.049245,4.774516,13.513424,黄山旅游
2026-03-25,sh.600055,14.5000,707.559484,2.176892,6.293691,-6.071835,万东医疗
2026-03-25,sh.600056,10.0400,29.255594,1.267079,0.451924,-76.059097,中国医药
2026-03-25,sh.600057,8.1900,10.758452,1.436011,0.060296,15.901051,厦门象屿
2026-03-25,sh.600058,11.4500,118.778097,2.457037,0.216297,10.689332,五矿发展
2026-03-25,sh.600059,8.8300,39.111756,1.384163,4.394203,-37.996240,古越龙山
2026-03-25,sh.600060,22.2700,11.333248,1.422120,0.478694,92.780459,海信视像
2026-03-25,sh.600061,6.9100,12.744675,0.823296,2.822435,1.283699,国投资本
2026-03-25,sh.600062,18.2300,11.496016,1.627415,1.721090,-20.350859,华润双鹤
2026-03-25,sh.600063,6.7500,32.181237,1.665456,1.743133,42.968024,皖维高新
2026-03-25,sh.600064,8.2900,6.169105,0.728452,5.011623,-72.826303,南京高科
2026-03-25,sh.600066,32.3200,14.377929,5.333959,1.811110,-193.807796,宇通客车
2026-03-25,sh.600067,4.0300,-10.952748,0.996992,0.530058,7.568913,冠城新材
